AC	sim	Count	Prop	mu_fit
0	0.9843577438240061	5025019.0	0.9843750397911292	2.3e-09
1	0.009106342192203116	51180.0	0.010025895332238542	2.3e-09
2	0.002363832315083841	10449.0	0.0020469046566346334	2.3e-09
3	0.00104008908763206	4503.0	0.0008821142376137194	2.3e-09
4	0.0005800786784609034	2389.0	0.0004679926523782313	2.3e-09
5	0.00036815898066215033	1571.0	0.0003077507144772714	2.3e-09
6	0.00025387796049661856	1112.0	0.0002178350060462927	2.3e-09
7	0.00018572680315679822	804.0	0.00015749941084642024	2.3e-09
8	0.00014204575408278885	603.0	0.00011812455813481519	2.3e-09
9	0.00011246838963401645	513.0	0.0001004940270699174	2.3e-09
10	9.158352063354453e-05	402.0	7.874970542321012e-05	2.3e-09
11	7.63561842876186e-05	328.0	6.425349099207195e-05	2.3e-09
12	6.49577051222329e-05	239.0	4.681885471678413e-05	2.3e-09
13	5.621099381971967e-05	260.0	5.093264529859361e-05	2.3e-09
14	4.9324212611940834e-05	209.0	4.094201102848486e-05	2.3e-09
15	4.3757179310374404e-05	204.0	3.996253708043499e-05	2.3e-09
16	3.914467055926843e-05	155.0	3.0363692389546194e-05	2.3e-09
17	3.524357215758858e-05	143.0	2.8012954914226487e-05	2.3e-09
18	3.189273576975057e-05	132.0	2.585811222851676e-05	2.3e-09
19	2.8983172996409895e-05	104.0	2.0373058119437444e-05	2.3e-09
20	2.6437852622261657e-05	112.0	2.194021643631725e-05	2.3e-09
21	2.419944201824886e-05	113.0	2.2136111225927224e-05	2.3e-09
22	2.222348356288195e-05	104.0	2.0373058119437444e-05	2.3e-09
23	2.0474574380157736e-05	87.0	1.7042846696067862e-05	2.3e-09
24	1.892388600749505e-05	93.0	1.8218215433727716e-05	2.3e-09
25	1.754725742855049e-05	66.0	1.292905611425838e-05	2.3e-09
26	1.632370995681869e-05	84.0	1.6455162327237936e-05	2.3e-09
27	1.523445715027279e-05	55.0	1.0774213428548649e-05	2.3e-09
28	1.4262430028492797e-05	57.0	1.11660030077686e-05	2.3e-09
29	1.3392192369537427e-05	52.0	1.0186529059718722e-05	2.3e-09
30	1.2610024678332377e-05	50.0	9.794739480498772e-06	2.3e-09
31	1.1903963100406427e-05	51.0	9.990634270108748e-06	2.3e-09
32	1.126367043165956e-05	40.0	7.835791584399017e-06	2.3e-09
33	1.068013582672845e-05	53.0	1.0382423849328698e-05	2.3e-09
34	1.0145293397083831e-05	43.0	8.423475953228944e-06	2.3e-09
35	9.651688217340411e-06	36.0	7.052212425959115e-06	2.3e-09
36	9.192298359503901e-06	28.0	5.4850541090793124e-06	2.3e-09
37	8.760562710722276e-06	27.0	5.289159319469336e-06	2.3e-09
38	8.35059334519056e-06	51.0	9.990634270108748e-06	2.3e-09
39	7.957493609589172e-06	32.0	6.2686332675192135e-06	2.3e-09
40	7.577674433951579e-06	31.0	6.072738477909238e-06	2.3e-09
41	7.209065789587729e-06	27.0	5.289159319469336e-06	2.3e-09
42	6.851151760037803e-06	25.0	4.897369740249386e-06	2.3e-09
43	6.504804130314539e-06	26.0	5.093264529859361e-06	2.3e-09
44	6.171936903688024e-06	21.0	4.113790581809484e-06	2.3e-09
45	5.85504118129464e-06	36.0	7.052212425959115e-06	2.3e-09
46	5.556679817244073e-06	18.0	3.5261062129795577e-06	2.3e-09
47	5.279022135029538e-06	25.0	4.897369740249386e-06	2.3e-09
48	5.023484217888045e-06	11.0	2.1548426857097296e-06	2.3e-09
49	4.790515260868334e-06	25.0	4.897369740249386e-06	2.3e-09
50	4.5795420534114386e-06	21.0	4.113790581809484e-06	2.3e-09
51	4.389057864093245e-06	25.0	4.897369740249386e-06	2.3e-09
52	4.2168227437654485e-06	16.0	3.1343166337596067e-06	2.3e-09
53	4.060131789283013e-06	21.0	4.113790581809484e-06	2.3e-09
54	3.916105902161413e-06	14.0	2.7425270545396562e-06	2.3e-09
55	3.781964595126416e-06	21.0	4.113790581809484e-06	2.3e-09
56	3.6552501254833634e-06	18.0	3.5261062129795577e-06	2.3e-09
57	3.533984032009604e-06	17.0	3.3302114233695824e-06	2.3e-09
58	3.416749104549798e-06	19.0	3.7220010025895334e-06	2.3e-09
59	3.3027000273359328e-06	20.0	3.917895792199509e-06	2.3e-09
60	3.1915136980278634e-06	13.0	2.5466322649296805e-06	2.3e-09
61	3.0832951508579306e-06	13.0	2.5466322649296805e-06	2.3e-09
62	2.9784570274167343e-06	11.0	2.1548426857097296e-06	2.3e-09
63	2.8775902430066624e-06	12.0	2.3507374753197053e-06	2.3e-09
64	2.781341318865551e-06	18.0	3.5261062129795577e-06	2.3e-09
65	2.6903083614627837e-06	5.0	9.794739480498772e-07	2.3e-09
66	2.604963590872791e-06	13.0	2.5466322649296805e-06	2.3e-09
67	2.525606018589702e-06	13.0	2.5466322649296805e-06	2.3e-09
68	2.452343957234586e-06	16.0	3.1343166337596067e-06	2.3e-09
69	2.385103767305362e-06	13.0	2.5466322649296805e-06	2.3e-09
70	2.3236588796459875e-06	6.0	1.1753687376598526e-06	2.3e-09
71	2.2676718119832623e-06	11.0	2.1548426857097296e-06	2.3e-09
72	2.2167415870870196e-06	10.0	1.9589478960997543e-06	2.3e-09
73	2.1704495632724108e-06	6.0	1.1753687376598526e-06	2.3e-09
74	2.128398023573568e-06	12.0	2.3507374753197053e-06	2.3e-09
75	2.0902376366832024e-06	12.0	2.3507374753197053e-06	2.3e-09
